zi,id,sort_val,layer
八,314,1.0,HSK_1-Common-01
贝,1574,2.0,HSK_1-Common-01
比,1633,3.0,HSK_1-Common-01
卜,1911,5.0,HSK_1-Common-01
长,2160,12.0,HSK_1-Common-01
厂,2167,13.0,HSK_1-Common-01
车,2196,14.0,HSK_1-Common-01
寸,2699,18.0,HSK_1-Common-01
大,224,19.0,HSK_1-Common-01
大,2767,20.0,HSK_1-Common-01
刀,2865,22.0,HSK_1-Common-01
斗,3152,25.0,HSK_1-Common-01
斗,3165,26.0,HSK_1-Common-01
儿,3373,27.0,HSK_1-Common-01
方,3479,32.0,HSK_1-Common-01
飞,3508,33.0,HSK_1-Common-01
风,3609,38.0,HSK_1-Common-01
父,3752,42.0,HSK_1-Common-01
干,233,43.0,HSK_1-Common-01
干,3834,44.0,HSK_1-Common-01
弓,3983,48.0,HSK_1-Common-01
工,3982,50.0,HSK_1-Common-01
广,4183,53.0,HSK_1-Common-01
厂,4306,54.0,HSK_1-Common-01
户,4584,56.0,HSK_1-Common-01
火,4839,58.0,HSK_1-Common-01
几,4870,59.0,HSK_1-Common-01
几,4883,60.0,HSK_1-Common-01
几,4967,62.0,HSK_1-Common-01
己,4966,63.0,HSK_1-Common-01
见,5216,65.0,HSK_1-Common-01
巾,5446,68.0,HSK_1-Common-01
斤,5447,69.0,HSK_1-Common-01
车,5643,74.0,HSK_1-Common-01
口,6012,77.0,HSK_1-Common-01
力,6459,80.0,HSK_1-Common-01
马,7054,84.0,HSK_1-Common-01
毛,7131,86.0,HSK_1-Common-01
门,7236,88.0,HSK_1-Common-01
木,189,89.0,HSK_1-Common-01
女,7796,93.0,HSK_1-Common-01
片,8070,96.0,HSK_1-Common-01
片,8081,97.0,HSK_1-Common-01
气,305,101.0,HSK_1-Common-01
欠,8431,103.0,HSK_1-Common-01
犬,8769,107.0,HSK_1-Common-01
人,8847,108.0,HSK_1-Common-01
日,8884,113.0,HSK_1-Common-01
入,8946,114.0,HSK_1-Common-01
山,236,116.0,HSK_1-Common-01
尸,9326,123.0,HSK_1-Common-01
十,9347,124.0,HSK_1-Common-01
氏,9405,126.0,HSK_1-Common-01
手,9434,127.0,HSK_1-Common-01
水,9542,128.0,HSK_1-Common-01
土,10210,132.0,HSK_1-Common-01
瓦,10329,134.0,HSK_1-Common-01
文,10530,143.0,HSK_1-Common-01
无,10616,145.0,HSK_1-Common-01
夕,10692,149.0,HSK_1-Common-01
见,10965,152.0,HSK_1-Common-01
小,11051,154.0,HSK_1-Common-01
心,11147,155.0,HSK_1-Common-01
牙,11478,158.0,HSK_1-Common-01
广,11573,159.0,HSK_1-Common-01
一,11789,161.0,HSK_1-Common-01
乙,11859,162.0,HSK_1-Common-01
又,12214,170.0,HSK_1-Common-01
月,12465,174.0,HSK_1-Common-01
长,12768,180.0,HSK_1-Common-01
支,12949,182.0,HSK_1-Common-01
止,13005,184.0,HSK_1-Common-01
爪,13233,186.0,HSK_1-Common-01
子,13379,189.0,HSK_1-Common-01
白,1430,192.0,HSK_1-Common-02
石,183,215.0,HSK_1-Common-02
鸟,3051,220.0,HSK_1-Common-02
甘,3816,232.0,HSK_1-Common-02
瓜,4107,235.0,HSK_1-Common-02
禾,4401,238.0,HSK_1-Common-02
立,6500,265.0,HSK_1-Common-02
龙,6833,269.0,HSK_1-Common-02
矛,7133,270.0,HSK_1-Common-02
母,7509,275.0,HSK_1-Common-02
目,47,276.0,HSK_1-Common-02
鸟,7707,280.0,HSK_1-Common-02
皮,8025,285.0,HSK_1-Common-02
生,9303,299.0,HSK_1-Common-02
石,9357,302.0,HSK_1-Common-02
田,10040,322.0,HSK_1-Common-02
穴,11393,332.0,HSK_1-Common-02
臣,2222,375.0,HSK_1-Common-03
虫,2368,381.0,HSK_1-Common-03
而,3377,401.0,HSK_1-Common-03
耳,3389,402.0,HSK_1-Common-03
老,6317,445.0,HSK_1-Common-03
米,7302,453.0,HSK_1-Common-03
齐,8310,459.0,HSK_1-Common-03
肉,8922,470.0,HSK_1-Common-03
色,9073,474.0,HSK_1-Common-03
舌,9220,477.0,HSK_1-Common-03
网,10397,487.0,HSK_1-Common-03
西,10759,495.0,HSK_1-Common-03
页,11105,501.0,HSK_1-Common-03
血,11400,506.0,HSK_1-Common-03
羊,11659,514.0,HSK_1-Common-03
页,11784,517.0,HSK_1-Common-03
衣,11808,518.0,HSK_1-Common-03
衣,11958,519.0,HSK_1-Common-03
至,13053,536.0,HSK_1-Common-03
舟,13118,539.0,HSK_1-Common-03
竹,13178,541.0,HSK_1-Common-03
自,13401,544.0,HSK_1-Common-03
辰,2226,559.0,HSK_1-Common-04
赤,2350,562.0,HSK_1-Common-04
豆,3161,570.0,HSK_1-Common-04
足,5707,620.0,HSK_1-Common-04
里,6443,633.0,HSK_1-Common-04
麦,7080,644.0,HSK_1-Common-04
羽,12309,708.0,HSK_1-Common-04
走,13439,725.0,HSK_1-Common-04
足,13451,726.0,HSK_1-Common-04
谷,4071,775.0,HSK_1-Common-05
角,5328,790.0,HSK_1-Common-05
角,5793,796.0,HSK_1-Common-05
青,8593,833.0,HSK_1-Common-05
身,9269,843.0,HSK_1-Common-05
辛,11158,868.0,HSK_1-Common-05
言,11555,871.0,HSK_1-Common-05
齿,2335,922.0,HSK_1-Common-06
非,190,939.0,HSK_1-Common-06
金,5458,971.0,HSK_1-Common-06
雨,12312,1067.0,HSK_1-Common-06
雨,12378,1068.0,HSK_1-Common-06
隶,216,1172.0,HSK_1-Common-07
鱼,12288,1241.0,HSK_1-Common-07
革,3927,1302.0,HSK_1-Common-08
骨,4085,1304.0,HSK_1-Common-08
鬼,243,1306.0,HSK_1-Common-08
面,7355,1354.0,HSK_1-Common-08
首,9438,1580.0,HSK_1-Common-09
音,12010,1611.0,HSK_1-Common-09
麻,7047,2088.0,HSK_1-Common-12
黑,4437,2230.0,HSK_1-Common-13
匕,1628,2817.0,HSK_2-CommonLow-1
歹,2759,2825.0,HSK_2-CommonLow-1
戈,3898,2846.0,HSK_2-CommonLow-1
臼,5618,2865.0,HSK_2-CommonLow-1
皿,9,2890.0,HSK_2-CommonLow-1
矢,9376,2920.0,HSK_2-CommonLow-1
丷,1387,4006.0,HSK_8
勹,1505,4059.0,HSK_8
釆,1753,4204.0,HSK_8
冫,1817,4250.0,HSK_8
癶,1860,4275.0,HSK_8
艹,2006,4351.0,HSK_8
彳,2341,4562.0,HSK_8
辶,2563,4690.0,HSK_8
刂,2866,4893.0,HSK_8
匚,3477,5259.0,HSK_8
缶,3633,5359.0,HSK_8
艮,3950,5544.0,HSK_8
艮,3952,5545.0,HSK_8
廾,3993,5570.0,HSK_8
虍,4541,5920.0,HSK_8
灬,4840,6104.0,HSK_8
彐,4990,6205.0,HSK_8
卩,5390,6440.0,HSK_8
冂,5557,6540.0,HSK_8
凵,5879,6760.0,HSK_8
耒,6367,7070.0,HSK_8
冖,7307,7624.0,HSK_8
糸,7317,7629.0,HSK_8
宀,7325,7634.0,HSK_8
疒,7622,7815.0,HSK_8
丿,8109,8095.0,HSK_8
攴,8191,8147.0,HSK_8
攵,8192,8148.0,HSK_8
丬,8467,8324.0,HSK_8
犭,8770,8528.0,HSK_8
亻,8848,8572.0,HSK_8
彡,9118,8741.0,HSK_8
饣,9364,8883.0,HSK_8
豕,9377,8891.0,HSK_8
扌,9435,8918.0,HSK_8
殳,9464,8928.0,HSK_8
疋,9467,8929.0,HSK_8
氵,9543,8966.0,HSK_8
厶,9572,8984.0,HSK_8
纟,9582,8990.0,HSK_8
亠,10179,9388.0,HSK_8
尢,10385,9515.0,HSK_8
罒,10398,9520.0,HSK_8
囗,10435,9544.0,HSK_8
忄,11148,10007.0,HSK_8
讠,11556,10262.0,HSK_8
幺,11678,10339.0,HSK_8
衤,11809,10424.0,HSK_8
弋,11907,10503.0,HSK_8
廴,12039,10594.0,HSK_8
酉,12210,10707.0,HSK_8
聿,12358,10821.0,HSK_8
爫,12796,11070.0,HSK_8
夂,12998,11191.0,HSK_8
豸,13063,11228.0,HSK_8
丶,13185,11308.0,HSK_8
隹,13282,11352.0,HSK_8
