zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen
朓,10081,,肉,,,,,,兆,,,,,祭也。从肉兆聲。,Y,2658
朓,10081,,月,,,,,,兆,,,,,晦而月見西方謂之朓。从月兆聲。,Y,4296
鳽,11560,,隹,,,,,,幵,,,,,石鳥。一名雝𪆫。一曰精𠛱。从隹幵聲。《春秋傳》：“秦有士鳽 。”,Y,2290
鳽,11560,,鳥,,,,,,幵,,,,,𪁉𪂴也。从鳥幵聲。,Y,2439
雁,11628,,隹,,,,,,人,,,,,鳥也。从隹从人，厂聲。讀若鴈。,Y,2293
雁,11628,,人,,,,,,厂,,,,,鳥也。从隹从人，厂聲。讀若鴈。,Y,2293
薻,12596,,艸,,,,,,水,,,,,水艸也。从艸从水，巢聲。《詩》曰：“于以采薻？”,Y,650
薻,12596,,水,,,,,,巢,,,,,水艸也。从艸从水，巢聲。《詩》曰：“于以采薻？”,Y,650
胄,13147,,肉,,,,,,由,,,,,𦙍也。从肉由聲。,Y,2636
胄,13147,,冃,,,,,,由,,,,,兜鍪也。从冃由聲。,Y,4785
敖,1356,,出,,,,,,放,,,,,出游也。从出从放。,Y,2504
敖,1356,,出,,,,,,放,,,,,游也。从出从放。,Y,3848
右,167,,口,,,,,,又,,,,,助也。从口从又。,Y,873
右,167,,又,,,,,,口,,,,,手口相助也。从又从口。,Y,1896
盋,1861,,金,,,,,,本,,,,,盋器。盂屬。从皿犮聲。或从金从本。,Y,3147
盋,1861,,皿,,,,,,犮,,,,,盋器。盂屬。从皿犮聲。或从金从本。,Y,3147
曾,2031,,八,,,,,,曰,,,,,詞之舒也。从八从曰，𡆧聲。,Y,710
曾,2031,,曰,,,,,,𡆧,,,,,詞之舒也。从八从曰，𡆧聲。,Y,710
吹,2505,,口,,,欠,,,,,,,2023-12-25 17:28:35,噓也。从口从欠。,Y,828
吹,2505,,欠,,,,,,口,,,,,出气也。从欠从口。,Y,5501
嶞,3286,,山,,,,,,憜,,,,,山之墮墮者。从山，从憜省聲。讀若相推落之憜。,Y,5847
嶞,3286,,憜,,,,,,省,,,,,山之墮墮者。从山，从憜省聲。讀若相推落之憜。,Y,5847
奉,3622,,手,,,,,,廾,,,,,承也。从手从廾，𡴀聲。,Y,1749
奉,3622,,廾,,,,,,𡴀,,,,,承也。从手从廾，𡴀聲。,Y,1749
否,3632,,口,,,,,,不,,,,,不也。从口从不。,Y,933
否,3632,,口,,,,,,不,,,,,不也。从口从不，不亦聲。,Y,7667
簠,3726,,竹,,,,,,皿,,,,,黍稷圜器也。从竹从皿，甫聲。,Y,2928
簠,3726,,皿,,,,,,甫,,,,,黍稷圜器也。从竹从皿，甫聲。,Y,2928
衡,4459,,角,,,,,,大,,,,,牛觸，橫大木其角。从角从大，行聲。《詩》曰：“設其楅衡。”,Y,2832
衡,4459,,大,,,,,,行,,,,,牛觸，橫大木其角。从角从大，行聲。《詩》曰：“設其楅衡。”,Y,2832
稽,4894,,𥝌,,,,,,尤,,,,,畱止也。从𥝌从尤，旨聲。凡稽之屬皆从稽。,Y,3873
稽,4894,,尤,,,,,,旨,,,,,畱止也。从𥝌从尤，旨聲。凡稽之屬皆从稽。,Y,3873
柩,5615,,匚,,,,,,木,,,,,棺也。从匚从木，久聲。,Y,8399
柩,5615,,木,,,,,,久,,,,,棺也。从匚从木，久聲。,Y,8399
梁,6574,,木,,,,,,水,,,,,水橋也。从木从水，刅聲。,Y,3768
梁,6574,,水,,,,,,刅,,,,,水橋也。从木从水，刅聲。,Y,3768
涅,7726,,水,,,,,,土,,,,,黑土在水中也。从水从土，日聲。,Y,7197
涅,7726,,土,,,,,,日,,,,,黑土在水中也。从水从土，日聲。,Y,7197
抛,7921,,尤,,,,,,力,,,,,棄也。从手从尤从力，或从手𠠵聲。案：《左氏傳》通用摽。《詩》：“摽有梅。”摽，落也。義亦同。,Y,8064
抛,7921,,手,,,,,,𠠵,,,,,棄也。从手从尤从力，或从手𠠵聲。案：《左氏傳》通用摽。《詩》：“摽有梅。”摽，落也。義亦同。,Y,8064
懿,8,,壹,,,,,,恣,,,,,專久而美也。从壹，从恣省聲。,Y,6610
懿,8,,恣,,,,,,省,,,,,專久而美也。从壹，从恣省聲。,Y,6610
嗣,9602,,冊,,,,,,口,,,,,諸侯嗣國也。从冊从口，司聲。,Y,1429
嗣,9602,,口,,,,,,司,,,,,諸侯嗣國也。从冊从口，司聲。,Y,1429
泰,9846,,廾,,,,,,水,,,,,滑也。从廾从水，大聲。,Y,7390
泰,9846,,水,,,,,,大,,,,,滑也。从廾从水，大聲。,Y,7390
