n_strokes,Kanxi Radicals,New Radicals
1,丨丶丿乀乁乚乛亅一乙,
2,丷亠亻冂冖冫凵⺈刂勹匚匸卩㔾厶讠二人儿入八几刀力匕十卜厂又,⺀乂龴⺁丁七乃九了刁
3,夂夊宀尢屮巛廴彐彑彡彳忄扌氵丬纟艹辶阝饣口囗土士夕大女子寸小尸山川工己巾干幺广廾弋弓犭门飞马,亍兀⺌⺍⻏万丈三上下与个丸义久么之乞也习于亏亡刃勺千叉及已乡才
4,攴攵殳灬爫爻爿牜⺩礻禸罓耂心戈戶户手支文斗斤方无日曰月木欠止歹毋比毛氏气水火爪父片牙牛犬王瓦见贝车长韦风,旡朩⺧不丑专中丰为乌云五井亢今介仓以元公六内冈凶分办勾勿匀匹区升午友天太夫少尤尺屯巨巴开
5,氺疋疒癶罒衤钅母玄玉瓜甘生用田白皮皿目矛矢石示禾穴立鸟龙,乍刍戋𤴔且丘丙业东乎乐令兄兰冬出击包北半占卡去古句另只可台四央失头宁它尼市布平必斥旦未末本术正由甲申电
6,⺮⺶聿艮虍覀竹米糸缶网羊羽老而耒耳肉臣自至臼舌舟色虫血行衣西页齐,囟尧屰⺷交共各合吉向吕寺并庄式曲
7,豕豸酉卤舛角言谷豆赤走足身辛辰邑釆里麦龟,㐬佥呙坙夆奂孚肙员㕻甫良
8,隹黾金阜隶雨青非鱼齿,龺幷其奉尚易東责
9,面革韭音食首香骨鬼,畐咸柬畏禺 
10,高鬥,
11,麻鹿,
12,黍黄黑,
13,鼓,
14,鼻,
