zi,is_radical,is_zi,simplified # zi here is different from zi in radicals-2.md
⼀,1,1,
⼁,1,0,
⼂,1,0,
⼃,1,0,
⼄,1,1,
⼅,1,0,
⼆,1,1,
⼇,1,0,
⼈,1,1,
⼉,1,1,
⼊,1,1,
⼋,1,1,
⼌,1,0,
⼍,1,0,
⼎,1,0,
⼏,1,1,
⼐,1,0,
⼑,1,1,
⼒,1,1,
⼓,1,0,
⼔,1,1,
⼕,1,0,
⼖,1,0,
⼗,1,1,
⼘,1,1,
⼙,1,0,
⼚,1,1,
⼛,1,0,
⼜,1,1,
⼝,1,1,
⼞,1,1,
⼟,1,1,
⼠,1,1,
⼡,1,0,
⼢,1,0,
⼣,1,1,
⼤,1,1,
⼥,1,1,
⼦,1,1,
⼧,1,0,
⼨,1,1,
⼩,1,1,
⼪,1,0,
⼫,1,1,
⼬,1,0,
⼭,1,1,
⼮,1,0,
⼯,1,1,
⼰,1,1,
⼱,1,1,
⼲,1,1,
⼳,1,1,
⼴,1,1,
⼵,1,0,
⼶,1,1,
⼷,1,1,
⼸,1,1,
⼹,1,0,
⼺,1,0,
⼻,1,0,
⼼,1,1,
⼽,1,1,
⼾,1,1,
⼿,1,1,
⽀,1,1,
⽁,1,1,
⽂,1,1,
⽃,1,1,
⽄,1,1,
⽅,1,1,
⽆,1,1,
⽇,1,1,
⽈,1,1,
⽉,1,1,
⽊,1,1,
⽓,1,1,
⽔,1,1,
⽕,1,1,
⽋,1,1,
⽌,1,1,
⽍,1,1,
⽎,1,0,
⽏,1,1,
⽐,1,1,
⽑,1,1,
⽒,1,1,
⽖,1,1,
⽗,1,1,
⽘,1,0,
⽙,1,0,
⽚,1,1,
⽛,1,1,
⽜,1,1,
⽝,1,1,
⽞,1,1,
⽟,1,1,
⽠,1,1,
⽡,1,1,
⽢,1,1,
⽣,1,1,
⽤,1,1,
⽥,1,1,
⽦,1,1,
⽧,1,0,
⽨,1,0,
⽩,1,1,
⽪,1,1,
⽫,1,1,
⽬,1,1,
⽭,1,1,
⽮,1,1,
⽯,1,1,
⽰,1,1,
⽱,1,0,
⽲,1,1,
⽳,1,1,
⽴,1,1,
⽵,1,1,
⽶,1,1,
⽷,1,0,
⽸,1,1,
⽹,1,1,
⽺,1,1,
⽻,1,1,
⽼,1,1,
⽽,1,1,
⽾,1,1,
⽿,1,1,
⾀,1,1,
⾁,1,1,
⾂,1,1,
⾃,1,1,
⾄,1,1,
⾅,1,1,
⾆,1,1,
⾇,1,0,
⾈,1,1,
⾉,1,0,
⾊,1,1,
⾋,1,0,
⾌,1,0,
⾍,1,1,
⾎,1,1,
⾏,1,1,
⾐,1,1,
⾑,1,0,
⾔,1,1,
⾕,1,1,
⾖,1,1,
⾗,1,0,
⾘,1,0,
⾚,1,1,
⾛,1,1,
⾜,1,1,
⾝,1,1,
⾟,1,1,
⾠,1,1,
⾡,1,0,
⾢,1,1,
⾣,1,0,
⾤,1,1,
⾥,1,1,
⾦,1,1,
⾩,1,1,
⾪,1,1,
⾫,1,0,
⾬,1,1,
⾮,1,1,
⾯,1,1,
⾰,1,1,
⾲,1,1,
⾳,1,1,
⾷,1,1,
⾸,1,1,
⾹,1,1,
⾻,1,1,
⾼,1,1,
⾽,1,0,
⾾,1,1,
⾿,1,0,
⿀,1,0,
⿁,1,1,
⿂,1,1,
⿄,1,1,
⿅,1,1,
⿇,1,1,
⿈,1,1,
⿉,1,0,
⿊,1,1,
⿋,1,0,
⿌,1,0,
⿍,1,1,
⿎,1,1,
⿏,1,1,
⿐,1,1,
⿕,1,0,
⾓,1,1,
⾒,1,0,见
⾙,1,1,贝
⾞,1,1,车 
⾧,1,1,长
⾭,1,1,青
⾨,1,1,门
⾱,1,1,韦
⾴,1,1,页
⾵,1,1,风
⾶,1,1,飞
⾺,1,1,马
⿃,1,1,鸟
⿆,1,1,麦
⿑,1,0,齐
⿒,1,1,齿
⿓,1,1,龙
⿔,1,0,龟 

